ts,exp_tag,profile,trial,task_spec,task_filter,task_count,tasks_pass,tasks_fail,pass,calls,reads,writes,edits,patches,finishes,errors,noop_hits,spec_reads,turns,duration_sec,run_dir,task_list,jsonl,pretty_log
2026-02-11T22:26:29,react_smoke_after_noop_fix,decision,1,react,"-k react",1,0,1,false,20,7,4,8,0,1,1,1,1,20,174.272,2026-02-11-21-23-34--qwen3-coder-next-bf16-mlx-2026-02-11-22-23-34,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-23-35.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-23-35.log"
2026-02-11T22:31:29,react_iter_post_feedback_v1,decision,1,react,"-k react",1,0,1,false,24,12,6,5,0,1,1,1,6,24,294.725,2026-02-11-21-26-34--qwen3-coder-next-bf16-mlx-2026-02-11-22-26-34,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-26-34.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-26-34.log"
2026-02-11T22:33:31,react_iter_post_feedback_v1,decision,2,react,"-k react",1,0,1,false,15,6,3,5,0,1,1,0,2,15,121.227,2026-02-11-21-31-29--qwen3-coder-next-bf16-mlx-2026-02-11-22-31-29,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-31-29.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-31-29.log"
2026-02-11T22:36:48,react_iter_post_feedback_v1,decision,3,react,"-k react",1,0,1,false,17,7,3,6,0,1,1,0,2,17,196.443,2026-02-11-21-33-31--qwen3-coder-next-bf16-mlx-2026-02-11-22-33-31,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-33-31.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-33-31.log"
2026-02-11T22:40:33,react_iter_post_feedback_v1,decision,4,react,"-k react",1,0,1,false,18,7,7,3,0,1,2,1,4,18,224.248,2026-02-11-21-36-49--qwen3-coder-next-bf16-mlx-2026-02-11-22-36-48,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-36-49.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-36-49.log"
2026-02-11T22:42:08,react_iter_post_feedback_v1,decision,5,react,"-k react",1,0,1,false,11,5,3,2,0,1,1,0,3,11,93.9128,2026-02-11-21-40-34--qwen3-coder-next-bf16-mlx-2026-02-11-22-40-33,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-40-34.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-40-34.log"
2026-02-11T22:44:56,react_iter_post_feedback_v1,decision,6,react,"-k react",1,0,1,false,13,5,4,3,0,1,1,0,1,13,167.139,2026-02-11-21-42-08--qwen3-coder-next-bf16-mlx-2026-02-11-22-42-08,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-42-08.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-42-08.log"
2026-02-11T22:48:05,react_iter_finish_fix_v1,decision,1,react,"-k react",1,0,1,false,4,2,1,0,0,1,0,0,1,4,41.649,2026-02-11-21-47-23--qwen3-coder-next-bf16-mlx-2026-02-11-22-47-23,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-47-23.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-47-23.log"
2026-02-11T22:49:29,react_iter_finish_fix_v1,decision,2,react,"-k react",1,1,0,true,8,3,4,0,0,1,0,1,1,8,83.32,2026-02-11-21-48-05--qwen3-coder-next-bf16-mlx-2026-02-11-22-48-05,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-48-05.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-48-05.log"
2026-02-11T22:50:23,react_iter_finish_fix_v1,decision,3,react,"-k react",1,0,1,false,5,2,2,0,0,1,0,0,1,5,53.1444,2026-02-11-21-49-29--qwen3-coder-next-bf16-mlx-2026-02-11-22-49-29,"react","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-49-29.jsonl","localcode/logs/localcode_mlx_qwen3-coder-next-bf16_2026-02-11_21-49-29.log"
